Date,Open,High,Low,Close,Volume
2011-01-05,274.21213,274.44525,268.15135,272.73585,264667
2011-01-07,273.51284,273.51284,268.92843,272.73585,196423
2011-01-10,270.40479,271.02636,263.87767,266.20882,363731
2011-01-11,266.20882,271.02636,265.43183,269.08375,325232
2011-01-12,268.85062,269.6277,264.88787,267.29664,218856
2011-01-13,268.85062,269.08375,258.90471,264.96558,366221
2011-01-14,264.57703,268.773,262.63442,264.96558,157553
2011-01-17,266.0534,270.40479,264.96558,270.40479,326425
2011-01-18,271.80336,276.15465,270.40479,275.8439,401329
2011-01-19,276.07703,277.6311,269.39459,271.95877,236822
2011-01-20,268.85062,273.90138,267.68519,271.88106,227940
2011-01-21,271.57023,273.35743,270.40479,270.87095,86907
2011-01-24,270.87095,271.72565,265.12091,270.40479,164986
2011-01-25,269.23916,271.49261,266.9081,269.16154,174519
2011-01-26,269.39459,271.88106,268.15135,270.71553,136975
2011-01-27,271.3371,271.3371,265.50945,266.13112,182139
2011-01-28,266.13112,269.55,265.12091,268.85062,140396
2011-01-31,266.13254,268.07426,264.96406,268.07426,256218
2011-02-01,268.61759,268.773,266.51966,268.07363,211462
2011-02-02,268.38446,270.24937,265.97569,269.55,233100
2011-02-03,270.17166,277.70881,268.85062,277.47568,509402
2011-02-04,278.87434,279.72904,273.1243,273.82359,344229
2011-02-07,272.96889,277.39789,272.73585,274.28983,253139
2011-02-08,275.76628,275.76628,273.59055,274.60067,329456
2011-02-09,273.59055,274.28983,271.18169,271.95877,273724
2011-02-10,271.4149,271.95877,268.53989,270.40479,268606
2011-02-11,270.32699,271.72565,269.6277,271.18169,307442
2011-02-14,271.80336,272.65814,268.46217,269.6277,172352
2011-02-15,268.22905,270.24937,268.22905,268.46217,417370
2011-02-16,269.55,269.55,265.74257,266.51966,509060
2011-02-17,266.51966,267.29664,262.24598,262.24598,433905
2011-02-18,262.63442,268.07363,262.63442,266.67507,304305
2011-02-21,266.67507,268.69521,265.97569,268.07363,290419
2011-02-22,267.84051,274.91141,265.74257,273.27981,515443
2011-02-23,272.73585,274.28983,270.01624,271.95877,317427
2011-02-24,269.23916,275.45536,269.00613,271.18169,278719
2011-02-25,271.4149,272.73585,269.16154,270.32699,230905
2011-02-28,268.92843,271.64803,268.07363,269.93845,333170
2011-03-01,269.23916,269.78312,264.11079,266.75269,290866
2011-03-02,264.96558,265.89799,262.78993,263.48922,243135
2011-03-03,265.50945,270.24937,264.57703,270.24937,236354
2011-03-04,271.10407,275.06683,269.70542,271.95877,235653
2011-03-07,272.89127,274.67837,270.79324,271.57023,156526
2011-03-08,271.95877,275.45536,271.95877,274.98921,220086
2011-03-09,273.20201,274.21213,269.08375,269.08375,216930
2011-03-10,269.00613,270.40479,266.83049,267.29664,205047
2011-03-11,266.13112,267.14123,263.48922,265.74257,288502
2011-03-14,264.57703,266.51966,264.57703,266.51966,217587
2011-03-15,265.74257,266.36415,263.56692,265.66486,263422
2011-03-16,270.40479,272.73585,263.02296,263.95546,290177
2011-03-17,264.42162,274.0567,263.56692,272.73585,583282
2011-03-18,272.73585,281.59395,272.11419,281.59395,786976
2011-03-21,281.28311,281.28311,277.70881,278.56351,313436
2011-03-22,278.17497,278.17497,273.66817,274.28983,188723
2011-03-23,274.28983,278.17497,272.81347,276.77631,145404
2011-03-24,275.45536,276.46557,272.73585,273.51284,162240
2011-03-25,273.66817,276.15465,271.95877,273.90138,133663
2011-03-28,273.51284,278.79664,273.51284,278.64113,193393
2011-03-29,278.64113,280.81687,276.23244,276.62098,370027
2011-03-30,277.24256,279.72904,272.50273,272.50273,266418
2011-03-31,274.68133,276.62314,273.27757,276.62314,342048
2011-04-01,277.6311,283.92501,277.39789,281.20541,924377
2011-04-04,282.83718,283.53647,281.36082,282.83718,199417
2011-04-05,282.0601,283.61409,282.0601,283.22572,118074
2011-04-06,283.61409,286.72223,283.22572,285.16825,587749
2011-04-07,285.16825,287.42161,284.39117,286.72223,310989
2011-04-08,286.72223,287.34381,281.28311,283.22572,370105
2011-04-11,283.61409,284.23575,282.0601,283.07022,168969
2011-04-12,282.0601,284.39117,280.89457,282.60406,306861
2011-04-13,284.39117,285.479,282.21552,283.22572,413374
2011-04-14,282.52635,283.76959,280.97228,282.44864,398077
2011-04-15,283.22572,284.23575,281.43853,282.9148,279646
2011-04-18,283.22572,284.23575,279.3405,279.3405,320551
2011-04-19,279.3405,282.83718,279.3405,281.28311,325017
2011-04-20,282.68177,284.15804,282.13781,282.13781,364017
2011-04-21,283.61409,284.15804,281.67157,282.37084,302771
2011-04-26,282.37084,285.01284,282.37084,284.23575,219113
2011-04-27,284.62429,286.56691,283.76959,286.33378,407891
2011-04-28,286.02295,291.38445,286.02295,290.60737,526044
2011-04-29,291.384,292.08167,288.5848,289.82894,148446
2011-05-02,290.60737,293.32697,289.83028,292.16144,201393
2011-05-04,288.97558,293.09385,285.5567,288.27631,489269
2011-05-05,287.49931,289.59725,287.49931,288.43172,428895
2011-05-06,289.44192,291.69519,288.50942,290.60737,618723
2011-05-09,291.38445,292.7831,285.5567,285.5567,139830
2011-05-10,286.33378,292.54998,286.33378,291.77299,571561
2011-05-11,291.69519,298.61076,291.46207,298.37763,546773
2011-05-12,297.52285,299.62088,295.73575,299.15463,760738
2011-05-13,299.15463,304.51613,298.61076,302.96214,294135
2011-05-16,299.93171,305.37083,296.90128,305.37083,235440
2011-05-17,303.03976,303.03976,297.60065,297.60065,274692
2011-05-18,298.22222,299.77629,290.84049,290.84049,315650
2011-05-19,295.26959,302.26277,294.57021,297.67826,474267
2011-05-20,298.53306,304.51613,298.53306,303.03976,327080
2011-05-23,299.15463,302.72902,297.91139,302.72902,255178
2011-05-24,299.31005,303.81684,298.37763,303.4283,315150
2011-05-25,302.72902,308.94522,300.78641,308.32356,349977
2011-05-26,309.17834,309.72221,303.97226,305.1377,408292
2011-05-27,305.1377,305.75937,301.87423,303.03976,277111
2011-05-30,304.59383,304.59383,301.33037,302.18506,81749
2011-05-31,302.95901,303.8164,301.63922,302.26134,343720
2011-06-01,304.43842,305.29321,302.34049,303.03976,314393
2011-06-02,301.48579,305.75937,301.33037,303.81684,123722
2011-06-03,303.81684,305.2155,300.86412,303.03976,234775
2011-06-06,303.11747,305.60395,303.11747,304.20538,130653
2011-06-07,304.283,306.14791,302.88435,303.50602,250570
2011-06-08,303.50602,304.51613,298.9993,299.93171,398736
2011-06-09,284.62429,289.05338,284.62429,288.66485,2135288
2011-06-10,288.66485,290.99591,286.17837,289.05338,1485728
2011-06-13,290.29662,294.88105,289.20871,291.53986,304473
2011-06-14,294.02635,298.68847,293.71551,297.60065,731336
2011-06-15,296.82356,296.82356,293.71551,295.26959,284851
2011-06-16,294.49251,299.854,292.54998,299.38775,616519
2011-06-17,297.60065,301.7189,297.60065,301.48579,595343
2011-06-20,300.63099,301.48579,297.60065,299.93171,330207
2011-06-21,299.69859,299.77629,294.18167,298.37763,371913
2011-06-22,298.06681,298.29993,293.01623,293.01623,431781
2011-06-24,293.09385,296.82356,292.54998,295.26959,203828
2011-06-27,293.71551,295.03637,288.12088,294.49251,225305
2011-06-28,292.93843,296.66815,291.61748,296.66815,342126
2011-06-29,296.12428,298.92151,295.58032,297.60065,284494
2011-06-30,297.91542,298.9241,291.384,291.384,641302
2011-07-01,291.77299,295.65803,291.77299,295.65803,134666
2011-07-04,297.44523,297.44523,293.40468,296.04658,189945
2011-07-05,296.66815,296.82356,293.71551,296.66815,276534
2011-07-06,295.34721,296.43502,292.23915,292.86072,171937
2011-07-07,294.41479,296.43502,292.54998,295.03637,133233
2011-07-08,295.19178,295.73575,291.77299,292.93843,103114
2011-07-11,292.93843,293.71551,289.05338,290.68516,274625
2011-07-12,288.74255,290.37424,286.79994,288.27631,384535
2011-07-13,289.05338,291.30674,288.27631,290.0635,215023
2011-07-14,290.0635,290.60737,287.81015,290.60737,199864
2011-07-15,288.35401,290.14121,287.81015,289.05338,282915
2011-07-18,287.65473,289.05338,284.39117,284.93512,191903
2011-07-19,286.02295,288.66485,285.94524,287.49931,199384
2011-07-20,288.19869,290.60737,287.65473,288.43172,310583
2011-07-21,287.96547,290.45195,285.5567,288.89796,300818
2011-07-22,289.83028,292.93843,288.27631,292.7831,128429
2011-07-25,292.31685,294.33709,290.0635,293.71551,115245
2011-07-26,294.80522,294.80522,290.13996,294.72957,90786
2011-07-27,292.54998,294.10396,289.131,291.46207,75540
2011-07-28,289.28651,294.41479,288.66485,293.71551,185324
2011-07-29,292.46833,294.4942,290.83762,294.4942,213054
2011-08-01,294.57021,296.43502,293.48239,293.71551,208567
2011-08-02,291.384,293.63682,290.76198,293.63682,180680
2011-08-03,289.05338,290.99591,284.08042,284.39117,564685
2011-08-04,285.479,288.82026,277.00952,278.17497,490120
2011-08-05,270.40479,279.88437,270.40479,273.59055,711412
2011-08-08,271.88106,275.92161,267.45197,271.88106,575852
2011-08-09,273.51284,276.77631,254.86425,262.16826,945755
2011-08-10,265.35403,269.6277,247.94867,250.35744,714977
2011-08-11,255.25279,264.11079,242.43184,261.15815,744363
2011-08-12,261.85753,268.07363,258.74938,268.07363,539556
2011-08-16,275.8439,275.92161,266.13112,274.67837,352913
2011-08-17,271.95877,274.13451,268.46217,271.18169,428591
2011-08-18,270.94866,271.02636,248.64805,259.52638,457069
2011-08-19,258.67168,263.41151,250.20203,260.30336,442560
2011-08-22,257.97239,262.01285,256.49602,261.31357,246577
2011-08-23,262.24598,264.11079,253.31017,256.18519,347525
2011-08-24,259.44866,262.71223,256.49602,261.46899,374764
2011-08-25,265.74257,270.17166,255.64133,259.52638,541223
2011-08-26,260.69191,261.00273,252.53318,254.16487,379359
2011-08-29,257.81688,268.85062,256.41823,268.85062,244672
2011-08-30,269.47229,271.88106,267.68519,271.80336,401322
2011-08-31,271.95788,276.53906,271.95788,275.84139,1042798
2011-09-01,275.8439,275.8439,269.6277,275.06683,225620
2011-09-02,272.34453,273.51294,266.83021,270.78938,370426
2011-09-05,267.99593,269.47229,264.18859,264.96558,287965
2011-09-06,264.65304,268.77202,254.78448,260.30722,643587
2011-09-07,263.49307,272.73961,262.71132,271.18447,432058
2011-09-08,271.80649,275.06808,269.31839,274.68133,310252
2011-09-09,272.03352,274.05931,261.08053,261.08053,353748
2011-09-12,258.74938,264.96558,255.48591,264.96558,447080
2011-09-13,266.9081,270.71553,263.64463,264.18859,397267
2011-09-14,263.56692,269.47229,261.85753,268.30676,362752
2011-09-15,268.85062,273.35743,262.78993,269.47229,501753
2011-09-16,270.40272,270.40272,267.45224,268.84766,362145
2011-09-19,268.69521,270.24937,263.64463,270.24937,280074
2011-09-20,270.25143,271.88223,267.6876,267.6876,266637
2011-09-21,270.40272,271.88223,268.22556,269.55376,336793
2011-09-22,267.29252,268.84766,254.86013,259.83649,511161
2011-09-23,260.30722,265.19942,249.42145,264.03102,495337
2011-09-26,260.22314,265.7458,259.52547,262.55995,460339
2011-09-27,267.29252,269.31839,265.43479,267.14123,757120
2011-09-28,269.15868,270.58763,260.83674,267.22529,464430
2011-09-29,265.62812,268.99053,263.10641,267.30937,507361
2011-09-30,265.79626,267.14123,260.66869,264.78758,435423
2011-10-03,259.74399,263.10641,256.04537,256.38157,365218
2011-10-04,253.85987,253.85987,237.97255,247.30317,715964
2011-10-05,251.33807,251.33807,245.45386,251.33807,254830
2011-10-06,252.17861,258.90337,248.48,254.53226,435455
2011-10-07,256.80193,262.18172,254.28014,257.64247,477799
2011-10-10,259.74399,268.99053,258.06282,268.90647,328946
2011-10-11,268.99053,270.50364,264.95572,266.55282,341146
2011-10-12,268.99053,272.35296,264.78758,267.81371,267867
2011-10-13,268.06593,269.49487,261.42516,261.42516,264431
2011-10-14,262.34985,265.54413,257.39034,263.94695,218725
2011-10-17,264.78758,270.25143,260.16426,263.94695,201527
2011-10-18,262.09764,263.94695,259.74399,263.86288,142933
2011-10-19,264.28324,268.57027,263.94695,268.57027,190955
2011-10-20,267.72964,270.16736,264.78758,265.20784,334467
2011-10-21,266.46874,271.00799,266.46874,270.50364,195219
2011-10-24,270.50364,281.43136,269.83117,276.97619,301673
