rf;WIG;SMB;HML;WML;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
0,003825;0,058097272;-0,005878532;-0,004141345;-0,008332971;0,110913034;0,080989287;0,044638086;-0,048535704;-0,006474225;0,054165371;0,160203428;0,046104821;0,042604047;0,041028237;-0,022022446;0,080411951;-0,017083086;0,030685845;0,007451891;0,04385957
0,003483333;0,019052972;-0,041737228;-0,03541667;0,071527552;-0,058802148;-0,059752908;-0,05533845;-0,030315844;-0,057417931;0,013544557;0,009289889;0,015816757;-0,025783065;-0,073444863;0,059429898;0,014555031;0,006722644;0,003577128;0,05040075;0,043524246
0,003683333;0,05470714;0,018311115;0,010125317;0,026138762;0,033055647;0,098091052;-0,015120784;0,019366989;0,068367892;0,059011335;0,019742366;0,023449742;-0,050915712;-0,024246716;-0,000472792;0,049177075;-0,078802386;-0,005531664;0,054251602;0,054026821
0,003433333;-0,071533175;0,019489794;-0,009673612;-0,002296261;0,003234445;-0,032848174;0,03450896;0,06847403;0,000799967;-0,0241732;-0,028056783;-0,034295442;-0,106513001;-0,027650993;0,008620037;-0,061112266;0,005903957;0,00526366;-0,021908035;-0,041970052
0,003541667;0,030160221;0,02860707;0,004076717;0,074898449;0,014885889;0,075135012;0,021564564;0,28645693;-0,070419034;0,006331326;0,021700975;-0,006670669;-0,011241826;0,029098442;0,040214877;0,049164428;0,026305198;-0,026472057;-0,148113982;0,039064371
0,003641667;0,039097747;0,01969164;-0,012875943;0,005737882;0,085613787;0,050783589;0,095298401;0,027899341;0,033818674;0,024043805;0,061528307;0,116021477;0,057908668;0,055805866;0,084584827;0,07549687;0,067528182;0,057151405;0,050329086;0,069358629
0,0036;0,04534976;0,085136339;0,003482187;-0,029587919;0,246651847;0,232885008;0,324241702;0,182317165;0,121101646;0,13774288;0,193447443;0,192190445;0,071690025;0,101403359;0,214016323;0,102873616;0,052228777;0,09169315;0,018684134;0,083333528
0,003516667;0,017717439;0,02795905;0,015733447;0,019036705;0,00350755;0,127657548;0,072513369;0,075179189;0,052208927;0,080257719;0,108541187;0,046469329;0,024414408;-0,009304608;0,079469959;-0,009539222;0,019296155;0,002984979;0,024470489;0,070532938
0,003233333;0,022589564;0,044217812;0,05878879;-0,023239916;0,084401191;0,102598257;0,05461547;0,110118496;0,046081338;0,18848867;0,08498765;-0,02068454;0,074372551;0,065662468;0,012758817;0,065540064;0,02931781;-0,008389466;-0,03794484;0,045096121
0,003275;0,07054477;0,055810573;0,069536393;0,006791038;0,052874983;0,097977711;0,031887325;0,05329261;0,101533917;0,043224874;0,139890733;0,082948823;0,011755789;-0,001171605;0,042654004;-0,038722775;0,044743609;0,068244793;0,022144771;0,095936843
0,003308333;-0,109053159;-0,030463693;0,003417024;-0,018049804;-0,099570806;-0,011002329;-0,117215185;-0,193962037;-0,099502235;-0,064011043;-0,074763814;-0,156810622;-0,042486904;-0,084228036;-0,066763415;-0,052104734;-0,147512936;-0,140986561;-0,091715515;-0,056376028
