WFOOD;WCLOTH;WSO;WNDO;WHOUSE;PFOOD;PCLOTH;PSO;PNDO;PHOUSE;LREXP
0,245;0,089;0,352;0,141;0,173;0,507;0,726;0,459;0,388;0,496;1,924
0,249;0,087;0,350;0,141;0,173;0,528;0,731;0,466;0,393;0,502;1,928
0,249;0,086;0,349;0,143;0,173;0,548;0,737;0,476;0,413;0,509;1,925
0,250;0,086;0,347;0,145;0,172;0,571;0,752;0,488;0,450;0,513;1,915
0,248;0,085;0,349;0,149;0,170;0,582;0,770;0,502;0,473;0,518;1,919
0,251;0,083;0,349;0,148;0,169;0,591;0,789;0,515;0,489;0,524;1,923
0,252;0,079;0,352;0,147;0,170;0,611;0,800;0,528;0,496;0,535;1,920
0,251;0,081;0,354;0,144;0,170;0,618;0,800;0,539;0,506;0,546;1,924
0,250;0,081;0,356;0,144;0,169;0,621;0,801;0,547;0,515;0,553;1,938
0,249;0,081;0,356;0,145;0,168;0,639;0,806;0,559;0,532;0,562;1,939
0,247;0,080;0,359;0,145;0,169;0,647;0,810;0,572;0,541;0,573;1,943
0,246;0,080;0,362;0,144;0,169;0,646;0,818;0,582;0,542;0,583;1,958
0,246;0,079;0,362;0,144;0,169;0,646;0,825;0,592;0,545;0,591;1,964
0,244;0,079;0,364;0,143;0,169;0,651;0,837;0,602;0,553;0,603;1,973
0,241;0,079;0,368;0,144;0,169;0,655;0,844;0,614;0,561;0,616;1,985
0,242;0,078;0,369;0,142;0,169;0,663;0,854;0,626;0,571;0,631;1,993
0,241;0,078;0,371;0,140;0,170;0,674;0,859;0,641;0,586;0,646;1,991
0,237;0,078;0,376;0,139;0,171;0,684;0,869;0,653;0,590;0,660;1,997
0,235;0,080;0,375;0,140;0,170;0,693;0,873;0,664;0,596;0,673;2,008
0,237;0,078;0,377;0,137;0,171;0,709;0,871;0,677;0,598;0,682;2,016
0,235;0,080;0,378;0,137;0,171;0,738;0,887;0,690;0,609;0,693;2,024
0,235;0,080;0,377;0,137;0,171;0,756;0,889;0,704;0,623;0,705;2,028
0,235;0,080;0,374;0,139;0,172;0,771;0,894;0,716;0,637;0,722;2,035
0,237;0,077;0,375;0,140;0,171;0,798;0,899;0,729;0,655;0,734;2,039
0,235;0,076;0,375;0,143;0,171;0,814;0,909;0,744;0,703;0,748;2,040
0,235;0,076;0,372;0,146;0,171;0,824;0,915;0,763;0,756;0,768;2,041
0,235;0,075;0,372;0,146;0,172;0,839;0,923;0,781;0,792;0,791;2,048
0,234;0,073;0,374;0,148;0,172;0,849;0,939;0,805;0,849;0,806;2,046
0,232;0,072;0,374;0,149;0,173;0,868;0,944;0,830;0,880;0,823;2,035
0,230;0,072;0,378;0,147;0,173;0,896;0,952;0,852;0,892;0,845;2,039
0,228;0,072;0,381;0,146;0,173;0,924;0,964;0,872;0,911;0,871;2,044
0,228;0,072;0,378;0,148;0,174;0,944;0,970;0,895;0,956;0,893;2,040
0,225;0,072;0,381;0,147;0,175;0,953;0,978;0,914;0,976;0,915;2,043
0,224;0,072;0,383;0,145;0,177;0,967;0,985;0,938;0,982;0,938;2,042
0,222;0,070;0,385;0,144;0,179;0,973;0,990;0,957;0,997;0,962;2,041
0,222;0,070;0,388;0,140;0,179;0,991;0,995;0,973;0,992;0,978;2,041
0,224;0,069;0,392;0,137;0,179;0,999;1,000;0,989;0,978;0,988;2,043
0,222;0,069;0,393;0,137;0,179;1,003;1,003;1,009;1,009;1,008;2,045
0,220;0,068;0,397;0,137;0,178;1,006;1,002;1,028;1,021;1,025;2,052
0,219;0,068;0,401;0,134;0,178;1,006;1,006;1,044;1,006;1,038;2,057
0,217;0,070;0,403;0,134;0,176;1,020;1,015;1,057;1,020;1,050;2,068
0,217;0,069;0,403;0,134;0,176;1,020;1,026;1,069;1,034;1,064;2,076
0,215;0,070;0,406;0,133;0,176;1,030;1,027;1,085;1,035;1,078;2,082
0,215;0,070;0,406;0,132;0,177;1,052;1,027;1,098;1,039;1,091;2,084
0,214;0,071;0,407;0,132;0,177;1,055;1,024;1,109;1,045;1,107;2,095
0,215;0,069;0,409;0,129;0,178;1,065;1,033;1,123;1,041;1,124;2,097
0,212;0,070;0,412;0,127;0,178;1,070;1,044;1,133;1,047;1,138;2,102
0,210;0,070;0,416;0,126;0,178;1,076;1,053;1,145;1,047;1,150;2,113
0,210;0,069;0,416;0,126;0,179;1,079;1,062;1,156;1,073;1,169;2,117
0,208;0,069;0,418;0,125;0,179;1,082;1,064;1,168;1,077;1,189;2,124
0,207;0,069;0,420;0,124;0,179;1,094;1,071;1,182;1,083;1,208;2,133
0,209;0,069;0,421;0,121;0,180;1,099;1,059;1,192;1,059;1,221;2,139
0,210;0,071;0,423;0,115;0,182;1,106;1,050;1,205;1,000;1,240;2,141
0,209;0,070;0,425;0,113;0,182;1,128;1,063;1,223;0,984;1,255;2,140
0,209;0,069;0,428;0,111;0,182;1,141;1,068;1,239;0,981;1,271;2,145
0,208;0,069;0,429;0,113;0,181;1,153;1,089;1,257;1,024;1,284;2,156
0,206;0,069;0,431;0,114;0,181;1,168;1,110;1,270;1,040;1,298;2,161
0,204;0,069;0,433;0,113;0,181;1,174;1,112;1,285;1,065;1,315;2,164
0,203;0,069;0,433;0,113;0,182;1,183;1,130;1,298;1,074;1,337;2,166
0,202;0,068;0,436;0,111;0,182;1,190;1,136;1,308;1,070;1,352;2,174
0,203;0,068;0,438;0,110;0,181;1,206;1,161;1,327;1,080;1,362;2,178
0,203;0,069;0,439;0,110;0,180;1,229;1,155;1,342;1,093;1,379;2,186
0,202;0,069;0,440;0,109;0,180;1,243;1,179;1,360;1,098;1,397;2,187
0,203;0,069;0,440;0,110;0,179;1,262;1,185;1,379;1,122;1,410;2,187
0,201;0,069;0,439;0,112;0,179;1,283;1,191;1,393;1,175;1,422;2,187
0,199;0,069;0,441;0,111;0,180;1,291;1,172;1,405;1,173;1,443;2,192
0,198;0,068;0,443;0,111;0,180;1,308;1,192;1,422;1,175;1,465;2,194
0,199;0,069;0,441;0,112;0,180;1,348;1,222;1,440;1,216;1,478;2,189
0,198;0,068;0,446;0,109;0,179;1,357;1,241;1,454;1,223;1,495;2,192
0,196;0,067;0,445;0,112;0,179;1,371;1,237;1,469;1,272;1,527;2,195
0,193;0,065;0,448;0,115;0,179;1,388;1,240;1,490;1,354;1,540;2,189
