WIG;DAX;CAC40;FTSE
19554.47;3501.23;3280.34;5536.8
20024.02;3565.47;3306.42;5574.6
20615.62;3549.05;3328.99;5597.8
20622.01;3500.09;3291.36;NA
21059.4;3455.48;3256.69;5562.9
20996.25;3483.08;3280.02;5575.2
20858.78;3492.67;3322.95;5569.6
21336.29;3484.58;3311.42;5593.2
22033.81;3571.22;3358.52;5645.8
21921.79;3567.2;3365.45;5675.7
21659.87;3647.51;3422.78;5778.9
21189.13;3668.67;3410.69;5707.7
20713.37;3607.71;3392.75;5713
20744.88;3641.53;3409.72;5739
20426.4;3593.73;3375.26;5710.2
19983.97;3536.87;3328.71;5641.4
20156.2;3566.85;3348.25;5610.3
19881.39;3508.06;3322.56;5625.3
19824.11;3516.31;3338.36;5645.9
20279.94;3564.75;3386.41;5667.5
20223.61;3561.03;3393.93;5689.8
20200.89;3612.02;3415.01;5709.5
20261.1;3578.7;3373.64;5718.3
19704.26;3456.27;3282.95;5664.8
19783.39;3411.02;3266.04;5621.7
19824.82;3307.34;3263.78;5633
19805.49;3326.27;3230.54;5561.4
20002.37;3324.85;3216.76;5497.7
19771.96;3323.38;3188.71;5502.3
19330.49;3256.78;3134.99;5457.8
19338.26;3329.83;3191.01;5476.9
19675.02;3276.64;3192.94;5529.1
19938.26;3419;3296.36;5592.5
20649.68;3404.91;3281.36;5628.5
20566.33;3355.78;3254.75;5638.7
20920.37;3395.33;3248.61;5679.4
21161.76;3481.9;3324.99;5728.3
21181.21;3471.25;3306.12;5755.5
21107.56;3538.39;3360.34;5786.8
21512.68;3538.13;3344.9;5791.5
21818.77;3570.58;3374.98;5850.6
21395.01;3577.72;3357.49;5835.5
21213.89;3516.67;3353.72;5831.6
21080.52;3559.33;3358.8;5812.5
20632.65;3580.08;3363.3;5823.7
20318.41;3490.6;3302.7;5713.4
20339.87;3497.14;3264.29;5630.7
20214.77;3452.64;3266.27;5634.1
19948.17;3517.1;3306.59;5653.4
20553.45;3586.93;3352.15;5683
20449.96;3615.42;3366.95;5700.6
20757.4;3639.66;3387.36;5712.9
20663.72;3655.99;3373.2;5724.4
20752.56;3744.5;3439.07;5768.2
20413.76;3741.71;3424.81;5766.2
20399.03;3717.7;3393.25;5728.4
20647.55;3733.93;3412.18;5757.1
20602.63;3782.56;3453.13;5830.2
20691.85;3746.24;3425.19;5807.3
NA;3729.87;3406.05;5758.3
20401.72;3748.34;3411.05;5789.5
20388.22;3765.59;3412.55;5779.9
20425.08;3797.4;3448.6;5779.4
19899.74;3674.54;3359.3;5692.1
19674.12;3666.28;3352.92;5711.8
19333.5;3652.29;3343.38;5682.8
18782.83;3638.04;3324.39;5634.7
19144.28;3642.25;3366.12;5632
19310.32;3737.09;3412.05;5682.8
18962.63;3733.16;3418.15;5698.4
19056.01;3712.98;3415.19;5710.2
19249.11;3744.99;3431.66;5709.4
19231.52;3745.95;3424.79;5712.6
19818.78;3821.2;3490.26;5753
19850.94;3809.26;3471.86;5780.2
19854.94;3875.66;3501.93;5800
19626.04;3874.78;3496.55;5812
19610.2;3841.73;3457.14;5780.1
20066.46;3806.54;3434.91;5764.2
20336.97;3846.18;3456.12;5775.1
20297.58;3820.92;3438.85;5709.6
20476.83;3858.85;3467.9;5680.8
20725.98;3860.13;3470.6;5692.1
20733.41;3875.47;3490.42;5714.3
20693.37;3865.98;3486.6;5664.3
20516.22;3847.57;3479.87;5646.7
20637.72;3870.88;3503.21;5677.8
20603.46;3898.42;3502.04;5714
